p1est	p2est	vest	yawest	yawrateest	p1meas	p2meas	p1	p2	v1_gt	v2_gt	NIS	sensor_type
9.83256	20.922	4.79939	3.32138	0.542448	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.68262	0
9.60227	20.91	4.75819	3.32604	0.506357	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.49894	1
9.40922	20.8572	4.69804	3.35577	0.511889	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	0.993393	0
9.18955	20.8153	4.68464	3.37804	0.508958	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.47391	1
8.89665	20.7823	4.78235	3.38993	0.493863	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	2.34265	0
8.68284	20.7038	4.75977	3.42269	0.502969	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.36616	1
8.40582	20.6197	4.83428	3.44896	0.502652	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	2.80356	0
8.17798	20.5401	4.83665	3.47664	0.5066	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542	0.0608508	1
7.93509	20.4597	4.85943	3.49966	0.503929	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237	0.144733	0
7.71878	20.3745	4.86358	3.52979	0.515412	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781	3.41879	1
7.41044	20.3151	4.97904	3.53263	0.490923	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717	3.60263	0
7.17983	20.2184	4.97385	3.55479	0.486047	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399	0.247784	1
6.91487	20.1351	5.02421	3.56715	0.473505	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462	0.767949	0
6.69157	20.043	5.00292	3.58395	0.463419	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357	0.560256	1
6.44293	19.9512	5.03127	3.59748	0.453551	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079	0.40833	0
6.22777	19.8575	5.00905	3.61465	0.447925	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625	2.89741	1
5.96419	19.7634	5.05999	3.62273	0.433139	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993	0.931255	0
5.73355	19.6196	5.10438	3.65659	0.452157	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178	1.80666	1
5.55582	19.4975	5.04188	3.6848	0.45865	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418	1.35896	0
5.354	19.3491	5.03729	3.7162	0.468639	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995	1.71252	1
5.14074	19.2474	5.02397	3.72712	0.456651	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622	1.99663	0
4.95178	19.1345	4.95844	3.73983	0.440507	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059	4.70859	1
4.78735	18.9848	4.91056	3.77228	0.451617	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305	0.662943	0
4.57806	18.8352	4.94575	3.79599	0.456518	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359	1.49792	1
4.40016	18.7039	4.91146	3.81597	0.454329	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422	1.13187	0
4.22044	18.561	4.865	3.8329	0.442952	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888	1.34578	1
4.09373	18.4073	4.78754	3.86795	0.45729	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362	1.96284	0
3.90528	18.2364	4.87205	3.90081	0.480321	3.42434	18.8357	3.84606	18.2457	-3.82841	-3.26644	7.32007	1
3.65223	18.0937	4.95026	3.89715	0.450966	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732	2.65527	0
3.49209	17.9422	4.88085	3.9133	0.438151	4.3011	17.9267	3.46891	17.9122	-3.71795	-3.40627	3.37966	1
3.2662	17.7744	4.94164	3.91994	0.42159	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331	1.23794	0
3.08395	17.5918	4.992	3.94651	0.434282	2.65664	17.888	3.10287	17.565	-3.60609	-3.53844	2.38124	1
2.907	17.4733	4.9491	3.94919	0.415906	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167	6.21143	0
2.75834	17.2594	5.00019	3.99248	0.448522	3.26647	17.0897	2.74805	17.2051	-3.49344	-3.66302	3.17642	1
